id,名称,name,見出し,詳細,国,住所,緯度,経度,アクセス手段,営業時間,平均予算,おススメ時期,分類,列1,料金,営業時間2,おススメ時間帯,必須アイテム（通年、夏場、冬場,持ち込み不可な物,主なアクセス方法,ツアー料金（入館料とかはこの項目,豆知識（あったら
,ウッフィツィ美術館,,,,イタリア,,,,,,,,,,,,,,,,,
,ヴェッキオ橋,,,,イタリア,,,,,,,,,,,,,,,,,
,コロッセオ,,,,イタリア,,,,,,,,,,,,,,,,,
,リアルト橋,,,,イタリア,,,,,,,,,,,,,,,,,
,青の洞窟,,,,イタリア,,,,,,,,,,,,,,,,,
,トレビの泉,,,,イタリア,,,,,,,,,,,,,,,,,
,フォロ・ロマーノ,,,,イタリア,,,,,,,,,,,,,,,,,
,サンピエトロ大聖堂,,,,イタリア,,,,,,,,,,,,,,,,,
,パルテノン神殿,,,,ギリシャ,,,,,,,,,,,,,,,,,
,バチカン美術館,,,,バチカン市国,,,,,,,,,,,,,,,,,
,プラハ城,,,,チェコ,,,,,,,,,,,,,,,,,
,ディズニーランドパリ,,,,フランス,,,,,,,,,,,,,,,,,
,ドゥブロブニク,,,,クロアチア,,,,,,,,,,,,,,,,,
,プリトヴィッツェ湖群国立公園,,,,クロアチア,,,,,,,,,,,,,,,,,
,ランペドゥーザ島,,,,イタリア,,,,,,,,,,,,,,,,,
,グランプラス,,,,ベルギー,,,,,,,,,,,,,,,,,
,カレル橋,,,,チェコ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
